t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
11.32,0.2832832832832833,12.946638228257978,-24.86702234044069,7.1588375764050385,-6.256721582800858,16.29170087917765,25.62687044807248,-18.558101546051574,-5.900162730651922,12.710899976805633,-37.351186115937075,-2.739014037013389,22.468537821891747,-6.831817657035393,25.01922540911333,25.41883869812787,-43.68436450067722
11.36,0.28428428428428426,12.94372241119833,-24.868290784050195,7.153775182452399,-6.254346857049806,16.290988049538946,25.625076632692938,-18.559835886955366,-5.905036558014827,12.70797520079284,-37.35294133531164,-2.736196036583425,22.47424254700316,-6.82051043386891,25.021474750726256,25.4186449095946,-43.68558326492169
11.4,0.2852852852852853,12.94081887082036,-24.8695616392457,7.148725147592617,-6.25199009016688,16.290307511926652,25.623276026978054,-18.561569596496614,-5.910075958875765,12.70506099573261,-37.35470914372975,-2.733286379495498,22.4801407035596,-6.809379568820543,25.023777825453802,25.41843652790838,-43.686812705897715
11.44,0.2862862862862863,12.93792736049404,-24.870834998965496,7.143687516445429,-6.249651462982753,16.289660236886665,25.62146857091633,-18.563302905348912,-5.915285127616567,12.702153570915765,-37.35648996192125,-2.7302811246065057,22.48623801693079,-6.798424361832771,25.026132230217364,25.41821368051107,-43.688052712799596
11.48,0.2872872872872873,12.935047587652575,-24.87211095601756,7.1386623253038595,-6.247331152457544,16.2890472365365,25.61965420117156,-18.565036079839988,-5.920668408952079,12.699249050390456,-37.358284247204146,-2.727176225197837,22.49254039898014,-6.787644046044889,25.028535546649756,25.417976482749093,-43.689303186476295
11.52,0.2882882882882883,12.932179213004504,-24.873389603615617,7.1336496017540645,-6.245029331799602,16.28846956582302,25.617832850581312,-18.566769422119826,-5.926230298560276,12.696343477773901,-37.360092493986365,-2.723967526412588,22.49905394897231,-6.777037795889657,25.030985344391365,25.417725037291785,-43.69056403996473
11.56,0.28928928928928926,12.929321849816025,-24.874671035920457,7.1286493642872415,-6.242746170593251,16.2879283238075,25.61600444764682,-18.568503270290496,-5.9319754430367935,12.693432821079522,-37.36191523421341,-2.7206507628547683,22.505784953712343,-6.766604734906409,25.033479184178812,25.417459433554868,-43.69183519902394
11.6,0.2902902902902903,12.926475063264245,-24.87595534858588,7.123661621904243,-6.240481834935492,16.287424654975794,25.61416891601507,-18.570237998497863,-5.937908639080536,12.690512977589405,-37.363753037755664,-2.717221556390288,22.51273988681166,-6.756343943260362,25.036014620728174,25.417179747130156,-43.69311660266906
11.64,0.2912912912912913,12.92363836986247,-24.877242639308594,7.118686373713643,-6.238236487581586,16.286959750570894,25.612326173953985,-18.571974016984946,-5.94403483180713,12.687579778806933,-37.36560651272799,-2.7136754141943014,22.519925406965637,-6.746254464959712,25.038589205415708,25.41688603922256,-43.69440820370396
11.68,0.2922922922922923,12.920811236959068,-24.878533008381417,7.113723608524078,-6.236010288099469,16.286534849944385,25.610476133821688,-18.573711772106083,-5.950359112076442,12.684628995529533,-37.367476305733575,-2.710007727094624,22.52734835511608,-6.736335314763688,25.04120048875996,25.416578356095577,-43.69570996925145
